Name,Price,LeaseType,PropertyType,Size,Furnished,Bedrooms,Bathrooms,Medianpsf,Views,Latitude,Longitude,Address
"Arte Mont Kiara, Dutamas","For Sale: RM 1,100,000",Freehold,Serviced Residence,925 SQ. FT,Fully Furnished,2  Bedrooms,1 + 1 Bathrooms,(RM 1189.19 psf),"<span class=""view-count"">3</span>",3.1765102314999996,101.6655063629,"Jalan Sultan Haji Ahmad Shah, 50480 Kuala Lumpur, Wilayah Persekutuan"
"VERVE Suites, Mont Kiara","For Sale: RM 768,000",Freehold,Serviced Residence,861 SQ. FT,Fully Furnished,2  Bedrooms,2  Bathrooms,(RM 891.99 psf),"<span class=""view-count"">3</span>",3.16741,101.646,"Taman Sri Hartamas, 5, Jalan Kiara, Mont Kiara, 50480 Kuala Lumpur, Wilayah Persekutuan"
"Damai Residence, Sungai Besi","For Sale: RM 601,000",Freehold,Condominium,910 SQ. FT,Fully Furnished,3  Bedrooms,2  Bathrooms,(RM 660.44 psf),"<span class=""view-count"">5</span>",3.1162495999999997,101.70836120000001,"326, Jalan Sungai Besi, Sungai Besi, 55200 Kuala Lumpur"
"Damai Residence, Sungai Besi","For Sale: RM 599,000",Freehold,Condominium,910 SQ. FT,Fully Furnished,3  Bedrooms,2  Bathrooms,(RM 658.24 psf),"<span class=""view-count"">4</span>",3.1162495999999997,101.70836120000001,"326, Jalan Sungai Besi, Sungai Besi, 55200 Kuala Lumpur"
"Taman Segar Perdana, Cheras","For Sale: RM 750,000",Leasehold,Terrace,"2,000 SQ. FT",Semi Furnished,4  Bedrooms,3  Bathrooms,(RM 375.0 psf),"<span class=""view-count"">6</span>",3.0915792433999996,101.7602849007,"Taman Segar Perdana, Batu 9 Cheras, 43200 Cheras, Selangor"
"Suria Jelatek Residence, Ampang Hilir","For Sale: RM 500,000",Freehold,Condominium,"1,400 SQ. FT",Unfurnished,3  Bedrooms,2  Bathrooms,(RM 357.14 psf),"<span class=""view-count"">28</span>",3.1631089924,101.73553884030001,"No.7 Ampang Hilir, Jalan Jelatek, 54200 Kuala Lumpur, Wilayah Persekutuan"
"Section 2, Bandar Mahkota Cheras","For Sale: RM 950,000",Freehold,Superlink,"3,040 SQ. FT",Semi Furnished,6  Bedrooms,4  Bathrooms,(RM 312.5 psf),"<span class=""view-count"">8</span>",3.0574249458,101.7852294445,"Bandar Mahkota Cheras, 43200 Cheras South, Selangor"
"Teratai Mewah Condominium, Setapak","For Sale: RM 420,000",Freehold,Condominium,"1,000 SQ. FT",Semi Furnished,4  Bedrooms,2  Bathrooms,(RM 420.0 psf),"<span class=""view-count"">21</span>",3.2031997103,101.7116323113,"Jalan Langkawi, 53300 Setapak, Kuala Lumpur, Wilayah Persekutuan"
"Teratai Mewah Apartment, Setapak","For Sale: RM 200,000",Freehold,Apartment,653 SQ. FT,Unfurnished,3  Bedrooms,1  Bathrooms,(RM 306.28 psf),"<span class=""view-count"">5</span>",3.2004788399,101.7082419991,"Jalan Langkawi, 53000 Setapak, Kuala Lumpur, Wilayah Persekutuan"
"Section 2, Wangsa Maju","For Sale: RM 258,000",Freehold,Apartment,800 SQ. FT,Semi Furnished,3  Bedrooms,2  Bathrooms,(RM 322.5 psf),"<span class=""view-count"">8</span>",3.2102107386000003,101.73508286479999,"Seksyen 2, Wangsa Maju, 53300 Kuala Lumpur, Wilayah Persekutuan"
"Plaza Prima Setapak, Setapak","For Sale: RM 410,000",Freehold,Condominium,"1,300 SQ. FT",Unfurnished,3  Bedrooms,2  Bathrooms,(RM 315.38 psf),"<span class=""view-count"">17</span>",3.1983417732999997,101.71332746739999,"Jalan Prima Setapak, 53000 Setapak, Kuala Lumpur, Wilayah Persekutuan"
"Taman Permata, Wangsa Maju","For Sale: RM 430,000",Freehold,Terrace,800 SQ. FT,Unfurnished,2  Bedrooms,2  Bathrooms,(RM 537.5 psf),"<span class=""view-count"">4</span>",3.2066329242,101.7509293556,"Persiaran Permata 10, Taman Permata, Wangsa Maju, 53300 Kuala Lumpur, Wilayah Persekutuan"
"Taman Melawati, Kuala Lumpur","For Sale: RM 15,000,000",Freehold,Land,"10,000 SQ. FT",Unfurnished,0  Bedrooms,0  Bathrooms,(RM 1500.0 psf),"<span class=""view-count"">6</span>",3.216745,101.74824699999999,"Taman Melawati, 53100 Kuala Lumpur, Wilayah Persekutuan"
"Section 2, Wangsa Maju","For Sale: RM 260,000",Freehold,Apartment,900 SQ. FT,Unfurnished,3  Bedrooms,2  Bathrooms,(RM 288.89 psf),"<span class=""view-count"">7</span>",3.2102107386000003,101.73508286479999,"Seksyen 2, Wangsa Maju, 53300 Kuala Lumpur, Wilayah Persekutuan"
"Taman Melawati, Kuala Lumpur","For Sale: RM 1,250,000",Freehold,Semi Detached,"5,000 SQ. FT",Semi Furnished,9  Bedrooms,3  Bathrooms,(RM 250.0 psf),"<span class=""view-count"">4</span>",3.216745,101.74824699999999,"Taman Melawati, 53100 Kuala Lumpur, Wilayah Persekutuan"
"Sri Suajaya, Sentul","For Sale: RM 430,000",Freehold,Condominium,"1,500 SQ. FT",Semi Furnished,4  Bedrooms,2  Bathrooms,(RM 286.67 psf),"<span class=""view-count"">19</span>",3.2006877259,101.69063866139999,"Jalan Sentul Pasar, Sentul, 51000 Kuala Lumpur, Wilayah Persekutuan"
"Fera Residence @ The Quartz, Wangsa Maju","For Sale: RM 550,000",Freehold,Condominium,688 SQ. FT,Semi Furnished,3  Bedrooms,2  Bathrooms,(RM 799.42 psf),"<span class=""view-count"">16</span>",3.1919359027999996,101.73768997190001,"Jalan 34/26, Seksyen 10, Wangsa Maju, 53300 Kuala Lumpur"
"Medan Idaman, Setapak","For Sale: RM 1,100,000",Freehold,Terrace,"2,900 SQ. FT",Semi Furnished,5  Bedrooms,4  Bathrooms,(RM 379.31 psf),"<span class=""view-count"">3</span>",3.2085853402999995,101.71192526799999,"Setapak, 53300 Kuala Lumpur, Wilayah Persekutuan"
"Duta Tropika, Dutamas","For Sale: RM 4,380,000",Freehold,Villa,"3,800 SQ. FT",Semi Furnished,5  Bedrooms,5  Bathrooms,(RM 1152.63 psf),"<span class=""view-count"">2</span>",3.169633,101.665453,"Jalan Dutamas 1, Off Jalan Duta, 50480 Kuala Lumpur, Wilayah Persekutuan"
"Titiwangsa Sentral, Titiwangsa","For Sale: RM 570,000",Freehold,Condominium,"1,100 SQ. FT",Fully Furnished,3  Bedrooms,2  Bathrooms,(RM 518.18 psf),"<span class=""view-count"">20</span>",3.1710308488999996,101.6965636611,"Titiwangsa Sentral, 50400 Kuala Lumpur, Wilayah Persekutuan"
"Taman Setapak Jaya, Setapak","For Sale: RM 250,000",Freehold,Terrace,580 SQ. FT,Unfurnished,3  Bedrooms,2  Bathrooms,(RM 431.03 psf),"<span class=""view-count"">2</span>",3.1907147122,101.7279911041,
"Desa Sri Hartamas, Sri Hartamas","For Sale: RM 3,500,000",Freehold,Shop,"4,500 SQ. FT",Unfurnished,3  Bedrooms,0  Bathrooms,(RM 777.78 psf),"<span class=""view-count"">2</span>",3.160184,101.649156,"Desa Sri Hartamas, 50480 Kuala Lumpur, Wilayah Persekutuan"
"VERVE Suites, Old Klang Road","For Sale: RM 530,000",Freehold,Condominium,551 SQ. FT,Fully Furnished,1  Bedrooms,1  Bathrooms,(RM 961.89 psf),"<span class=""view-count"">22</span>",3.0921791836000003,101.6741350293,"Jalan Klang Lama, 58000 Kuala Lumpur, Wilayah Persekutuan"
"The Hermington, Kuchai Lama","For Sale: RM 480,000",Freehold,Condominium,"1,075 SQ. FT",Semi Furnished,3  Bedrooms,2  Bathrooms,(RM 446.51 psf),"<span class=""view-count"">23</span>",3.0933147838,101.67988300319999,"Off Jalan Kuchai Lama, Kuchai Lama, 58200 Kuala Lumpur"
"V Residence 2 @ Sunway Velocity, Cheras","For Sale: RM 714,000",Leasehold,Condominium,883 SQ. FT,Semi Furnished,3  Bedrooms,2  Bathrooms,(RM 808.61 psf),"<span class=""view-count"">20</span>",3.1302104134,101.7231845856,"Lot 392, Batu 2 1/2, Jalan Cheras, 55100 Kuala Lumpur, Wilayah Persekutuan"
"Continew, Pudu","For Sale: RM 840,800",Freehold,Condominium,880 SQ. FT,Semi Furnished,2  Bedrooms,2  Bathrooms,(RM 955.45 psf),"<span class=""view-count"">20</span>",3.1339151051,101.71753028010001,"27, Jalan Yew, Pudu, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
"Continew, Pudu","For Sale: RM 600,000",Freehold,Condominium,"610,000 SQ. FT",Fully Furnished,2  Bedrooms,2  Bathrooms,(RM 0.98 psf),"<span class=""view-count"">20</span>",3.1339151051,101.71753028010001,"27, Jalan Yew, Pudu, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
"Kuchai Sentral, Kuchai Lama","For Sale: RM 445,000",Freehold,Condominium,848 SQ. FT,Semi Furnished,2  Bedrooms,2  Bathrooms,(RM 524.76 psf),"<span class=""view-count"">18</span>",3.0886896,101.6851257,
"216 Residences, Kuchai Lama","For Sale: RM 458,380",Freehold,Condominium,804 SQ. FT,Semi Furnished,2  Bedrooms,2  Bathrooms,(RM 570.12 psf),"<span class=""view-count"">19</span>",3.0917185152999997,101.6832518578,"Jalan Kuchai Jaya, Taman Kuchai Jaya, 58200 Kuala Lumpur"
"216 Residences, Kuchai Lama","For Sale: RM 462,645",Freehold,Condominium,832 SQ. FT,Semi Furnished,2  Bedrooms,2  Bathrooms,(RM 556.06 psf),"<span class=""view-count"">18</span>",3.0917185152999997,101.6832518578,"Jalan Kuchai Jaya, Taman Kuchai Jaya, 58200 Kuala Lumpur"
"216 Residences, Kuchai Lama","For Sale: RM 507,144",Freehold,Condominium,854 SQ. FT,Semi Furnished,3  Bedrooms,2  Bathrooms,(RM 593.85 psf),"<span class=""view-count"">17</span>",3.0917185152999997,101.6832518578,"Jalan Kuchai Jaya, Taman Kuchai Jaya, 58200 Kuala Lumpur"
"The Goodwood Residence, Bangsar South","For Sale: RM 676,000",Freehold,Condominium,947 SQ. FT,Semi Furnished,3  Bedrooms,2  Bathrooms,(RM 713.83 psf),"<span class=""view-count"">10</span>",3.1085515,101.66444770000001,"Bangsar South, 59200 Kuala Lumpur"
"Tria Residences @ 9 Seputeh, Old Klang Road","For Sale: RM 635,000",Freehold,Condominium,764 SQ. FT,Fully Furnished,2  Bedrooms,2  Bathrooms,(RM 831.15 psf),"<span class=""view-count"">8</span>",3.1079882564999997,101.67706679540001,"Off Jalan Klang Lama, 58100 Jalan Klang Lama, Kuala Lumpur"
"The Rosewoodz Residences, Bukit Jalil","For Sale: RM 480,000",Freehold,Condominium,780 SQ. FT,Fully Furnished,2  Bedrooms,2  Bathrooms,(RM 615.38 psf),"<span class=""view-count"">12</span>",3.0621101000000004,101.6615753,
"Vivo Residential @ 9 Seputeh, Old Klang Road","For Sale: RM 1,679,860",Freehold,Serviced Residence,"2,470 SQ. FT",Semi Furnished,4 + 1 Bedrooms,4 + 2 Bathrooms,(RM 680.11 psf),"<span class=""view-count"">4</span>",3.1059348628,101.6767501831,"Jalan Klang Lama, Batu 3 1/2, 58100 Kuala Lumpur, Wilayah Persekutuan"
"Metro Cheras, Batu 9 Cheras","For Sale: RM 430,500",Freehold,Condominium,720 SQ. FT,Semi Furnished,2  Bedrooms,2  Bathrooms,(RM 597.92 psf),"<span class=""view-count"">6</span>",3.0631781145,101.7744362354,
"216 Residences, Kuchai Lama","For Sale: RM 508,376",Freehold,Condominium,847 SQ. FT,Semi Furnished,3  Bedrooms,2  Bathrooms,(RM 600.21 psf),"<span class=""view-count"">6</span>",3.0917185152999997,101.6832518578,"Jalan Kuchai Jaya, Taman Kuchai Jaya, 58200 Kuala Lumpur"
"Platinum Arena, Old Klang Road","For Sale: RM 329,000",Freehold,Serviced Residence,660 SQ. FT,Semi Furnished,2  Bedrooms,1  Bathrooms,(RM 498.48 psf),"<span class=""view-count"">3</span>",3.082,101.663714,
"Metro Cheras, Batu 9 Cheras","For Sale: RM 448,000",Freehold,Condominium,850 SQ. FT,Semi Furnished,2  Bedrooms,2  Bathrooms,(RM 527.06 psf),"<span class=""view-count"">5</span>",3.0631781145,101.7744362354,
"Parc 3, Cheras","For Sale: RM 1,017,212",Freehold,Condominium,"1,470 SQ. FT",Semi Furnished,4  Bedrooms,2  Bathrooms,(RM 691.98 psf),"<span class=""view-count"">6</span>",3.1218972252999997,101.7306733131,"Jalan Pudu Perdana, Taman Pudu Ulu, 56100 Kuala Lumpur, Wilayah Persekutuan"
"Tria Residences @ 9 Seputeh, Old Klang Road","For Sale: RM 1,216,608",Freehold,Condominium,"1,733 SQ. FT",Fully Furnished,4 + 1 Bedrooms,3  Bathrooms,(RM 702.02 psf),"<span class=""view-count"">3</span>",3.1079882564999997,101.67706679540001,"Off Jalan Klang Lama, 58100 Jalan Klang Lama, Kuala Lumpur"
"216 Residences, Kuchai Lama","For Sale: RM 467,805",Freehold,Condominium,832 SQ. FT,Semi Furnished,2  Bedrooms,2  Bathrooms,(RM 562.27 psf),"<span class=""view-count"">3</span>",3.0917185152999997,101.6832518578,"Jalan Kuchai Jaya, Taman Kuchai Jaya, 58200 Kuala Lumpur"
"Bliss Bayu Gasing Residency, Old Klang Road","For Sale: RM 400,000",Freehold,Condominium,700 SQ. FT,Semi Furnished,2  Bedrooms,2  Bathrooms,(RM 571.43 psf),"<span class=""view-count"">4</span>",3.1042316000000003,101.67771529999999,
"PV9 Residences, Setapak","For Sale: RM 600,000",Freehold,Condominium,"1,300 SQ. FT",Unfurnished,4  Bedrooms,3  Bathrooms,(RM 461.54 psf),"<span class=""view-count"">5</span>",3.2177005000000003,101.7245928,"Taman Melati, Setapak, 53100 Kuala Lumpur"
"216 Residences, Kuchai Lama","For Sale: RM 611,856",Freehold,Condominium,"1,023 SQ. FT",Semi Furnished,3  Bedrooms,2  Bathrooms,(RM 598.1 psf),"<span class=""view-count"">4</span>",3.0917185152999997,101.6832518578,"Jalan Kuchai Jaya, Taman Kuchai Jaya, 58200 Kuala Lumpur"
"M Adora, Wangsa Maju","For Sale: RM 550,000",Freehold,Condominium,"1,002 SQ. FT",Semi Furnished,4  Bedrooms,3  Bathrooms,(RM 548.9 psf),"<span class=""view-count"">3</span>",3.2042545143,101.74629282209999,"Jalan Wangsa Melawati 1, Wangsa Maju, 53300 Kuala Lumpur"
"Kuchai East, Kuchai Lama","For Sale: RM 504,900",Freehold,Condominium,"1,004 SQ. FT",Semi Furnished,3  Bedrooms,2  Bathrooms,(RM 502.89 psf),"<span class=""view-count"">3</span>",3.0862426324000003,101.6925299167,"Jalan Kuchai Maju 13, 58200 Kuchai Lama, Kuala Lumpur"
"Waltz Residences, Kuala Lumpur","For Sale: RM 900,000",Freehold,Condominium,"1,250 SQ. FT",Fully Furnished,3 + 1 Bedrooms,3  Bathrooms,(RM 720.0 psf),"<span class=""view-count"">3</span>",3.0680881,101.67257690000001,
"The Hermington, Kuchai Lama","For Sale: RM 440,000",Freehold,Condominium,"1,075 SQ. FT",Semi Furnished,3 + 1 Bedrooms,3  Bathrooms,(RM 409.3 psf),"<span class=""view-count"">3</span>",3.0933147838,101.67988300319999,"Off Jalan Kuchai Lama, Kuchai Lama, 58200 Kuala Lumpur"
"Parc 3, Cheras","For Sale: RM 824,250",Freehold,Condominium,"1,099 SQ. FT",Semi Furnished,3  Bedrooms,3  Bathrooms,(RM 750.0 psf),"<span class=""view-count"">5</span>",3.1218972252999997,101.7306733131,"Jalan Pudu Perdana, Taman Pudu Ulu, 56100 Kuala Lumpur, Wilayah Persekutuan"
"The Como, Bukit Jalil","For Sale: RM 630,000",Freehold,Condominium,909 SQ. FT,Semi Furnished,2 + 1 Bedrooms,2  Bathrooms,(RM 693.07 psf),"<span class=""view-count"">8</span>",3.0590245,101.6589937,
"The Tropika, Bukit Jalil","For Sale: RM 889,000",Freehold,Condominium,"1,318 SQ. FT",Semi Furnished,3  Bedrooms,2  Bathrooms,(RM 674.51 psf),"<span class=""view-count"">8</span>",3.0555613789,101.67794650450001,"Lot 36470 Mukim Petaling , Wilayah Persekutuan, KL"
"Kenwingston Avenue, Sungai Besi","For Sale: RM 380,000",Freehold,Serviced Residence,650 SQ. FT,Fully Furnished,2  Bedrooms,2  Bathrooms,(RM 584.62 psf),"<span class=""view-count"">3</span>",3.082699692,101.70042471110001,
"Oxley Towers, Kuala Lumpur","For Sale: RM 2,000,000",Freehold,Condominium,"1,000 SQ. FT",Fully Furnished,3  Bedrooms,2  Bathrooms,(RM 2000.0 psf),"<span class=""view-count"">3</span>",3.1591346000000002,101.7150595,
"Tria Residences @ 9 Seputeh, Old Klang Road","For Sale: RM 1,450,240",Freehold,Condominium,"2,013 SQ. FT",Fully Furnished,4 + 1 Bedrooms,5  Bathrooms,(RM 720.44 psf),"<span class=""view-count"">3</span>",3.1079882564999997,101.67706679540001,"Off Jalan Klang Lama, 58100 Jalan Klang Lama, Kuala Lumpur"
"Tria Residences @ 9 Seputeh, Old Klang Road","For Sale: RM 3,370,000",Freehold,Condominium,"4,347 SQ. FT",Semi Furnished,5 + 2 Bedrooms,6  Bathrooms,(RM 775.25 psf),"<span class=""view-count"">3</span>",3.1079882564999997,101.67706679540001,"Off Jalan Klang Lama, 58100 Jalan Klang Lama, Kuala Lumpur"
"216 Residences, Kuchai Lama","For Sale: RM 425,000",Freehold,Condominium,832 SQ. FT,Semi Furnished,2  Bedrooms,2  Bathrooms,(RM 510.82 psf),"<span class=""view-count"">3</span>",3.0917185152999997,101.6832518578,"Jalan Kuchai Jaya, Taman Kuchai Jaya, 58200 Kuala Lumpur"
"Tria Residences @ 9 Seputeh, Old Klang Road","For Sale: RM 1,600,800",Freehold,Condominium,"1,733 SQ. FT",Fully Furnished,4 + 1 Bedrooms,3  Bathrooms,(RM 923.72 psf),"<span class=""view-count"">3</span>",3.1079882564999997,101.67706679540001,"Off Jalan Klang Lama, 58100 Jalan Klang Lama, Kuala Lumpur"
"The Maple Residences, Old Klang Road","For Sale: RM 750,000",Freehold,Serviced Residence,950 SQ. FT,Semi Furnished,3 + 1 Bedrooms,2  Bathrooms,(RM 789.47 psf),"<span class=""view-count"">3</span>",3.0643039,101.68218759999999,
"8th & Stellar, Sri Petaling","For Sale: RM 520,000",Freehold,Condominium,831 SQ. FT,Fully Furnished,3  Bedrooms,2  Bathrooms,(RM 625.75 psf),"<span class=""view-count"">3</span>",3.0718605,101.70145009999999,
"Kuchai East, Kuchai Lama","For Sale: RM 370,000",Freehold,Serviced Residence,600 SQ. FT,Semi Furnished,1  Bedrooms,1  Bathrooms,(RM 616.67 psf),"<span class=""view-count"">4</span>",3.0862426324000003,101.6925299167,"Jalan Kuchai Maju 13, 58200 Kuchai Lama, Kuala Lumpur"
"Avara Seputeh, Old Klang Road","For Sale: RM 680,000",Freehold,Condominium,807 SQ. FT,Semi Furnished,2  Bedrooms,2  Bathrooms,(RM 842.63 psf),"<span class=""view-count"">3</span>",3.1130816032,101.67906974489999,"Jalan Seputeh, 58000 Kuala Lumpur"
"Tria Residences @ 9 Seputeh, Old Klang Road","For Sale: RM 670,000",Freehold,Condominium,797 SQ. FT,Fully Furnished,2  Bedrooms,2  Bathrooms,(RM 840.65 psf),"<span class=""view-count"">3</span>",3.1079882564999997,101.67706679540001,"Off Jalan Klang Lama, 58100 Jalan Klang Lama, Kuala Lumpur"
"Vivo Residential @ 9 Seputeh, Old Klang Road","For Sale: RM 820,000",Freehold,Condominium,"1,238 SQ. FT",Semi Furnished,3  Bedrooms,2  Bathrooms,(RM 662.36 psf),"<span class=""view-count"">3</span>",3.1059348628,101.6767501831,"Jalan Klang Lama, Batu 3 1/2, 58100 Kuala Lumpur, Wilayah Persekutuan"
"Parc 3, Cheras","For Sale: RM 566,102",Freehold,Condominium,686 SQ. FT,Unfurnished,2  Bedrooms,2  Bathrooms,(RM 825.22 psf),"<span class=""view-count"">6</span>",3.1218972252999997,101.7306733131,"Jalan Pudu Perdana, Taman Pudu Ulu, 56100 Kuala Lumpur, Wilayah Persekutuan"
