Name,Price,LeaseType,PropertyType,Size,Furnished,Bedrooms,Bathrooms,Medianpsf,Views,Latitude,Longitude,Address
"Arte Mont Kiara, Dutamas",1100000.0,1,1,925.0,Fully Furnished,2,2,1189.19,3,3.1765102315,101.6655063629,"Jalan Sultan Haji Ahmad Shah, 50480 Kuala Lumpur, Wilayah Persekutuan"
"VERVE Suites, Mont Kiara",768000.0,1,1,861.0,Fully Furnished,2,2,891.99,3,3.16741,101.646,"Taman Sri Hartamas, 5, Jalan Kiara, Mont Kiara, 50480 Kuala Lumpur, Wilayah Persekutuan"
"Damai Residence, Sungai Besi",601000.0,1,2,910.0,Fully Furnished,3,2,660.44,5,3.1162496,101.7083612,"326, Jalan Sungai Besi, Sungai Besi, 55200 Kuala Lumpur"
"Damai Residence, Sungai Besi",599000.0,1,2,910.0,Fully Furnished,3,2,658.24,4,3.1162496,101.7083612,"326, Jalan Sungai Besi, Sungai Besi, 55200 Kuala Lumpur"
"Taman Segar Perdana, Cheras",750000.0,2,3,2000.0,Semi Furnished,4,3,375.0,6,3.0915792434,101.7602849007,"Taman Segar Perdana, Batu 9 Cheras, 43200 Cheras, Selangor"
"Suria Jelatek Residence, Ampang Hilir",500000.0,1,2,1400.0,Unfurnished,3,2,357.14,28,3.1631089924,101.73553884030001,"No.7 Ampang Hilir, Jalan Jelatek, 54200 Kuala Lumpur, Wilayah Persekutuan"
"Section 2, Bandar Mahkota Cheras",950000.0,1,4,3040.0,Semi Furnished,6,4,312.5,8,3.0574249458,101.7852294445,"Bandar Mahkota Cheras, 43200 Cheras South, Selangor"
"Teratai Mewah Condominium, Setapak",420000.0,1,2,1000.0,Semi Furnished,4,2,420.0,21,3.2031997103,101.7116323113,"Jalan Langkawi, 53300 Setapak, Kuala Lumpur, Wilayah Persekutuan"
"Teratai Mewah Apartment, Setapak",200000.0,1,5,653.0,Unfurnished,3,1,306.28,5,3.2004788399,101.7082419991,"Jalan Langkawi, 53000 Setapak, Kuala Lumpur, Wilayah Persekutuan"
"Section 2, Wangsa Maju",258000.0,1,5,800.0,Semi Furnished,3,2,322.5,8,3.2102107386000003,101.73508286479999,"Seksyen 2, Wangsa Maju, 53300 Kuala Lumpur, Wilayah Persekutuan"
"Plaza Prima Setapak, Setapak",410000.0,1,2,1300.0,Unfurnished,3,2,315.38,17,3.1983417733,101.71332746739999,"Jalan Prima Setapak, 53000 Setapak, Kuala Lumpur, Wilayah Persekutuan"
"Taman Permata, Wangsa Maju",430000.0,1,3,800.0,Unfurnished,2,2,537.5,4,3.2066329242,101.7509293556,"Persiaran Permata 10, Taman Permata, Wangsa Maju, 53300 Kuala Lumpur, Wilayah Persekutuan"
"Taman Melawati, Kuala Lumpur",15000000.0,1,6,10000.0,Unfurnished,0,0,1500.0,6,3.216745,101.748247,"Taman Melawati, 53100 Kuala Lumpur, Wilayah Persekutuan"
